"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","664","💙 Search for phone and validate results include iphone","Chromium","Sat Aug 16 17:13:07 IDT 2025","passed","Sat Aug 16 17:13:07 IDT 2025","","HomePage.test.ts","",""
"","659","should navigate to bar chart page","Chromium","Sat Aug 16 17:05:30 IDT 2025","passed","Sat Aug 16 17:05:31 IDT 2025","Admin Items Dashboard","AdminDashboardPage.test.ts","",""
"","30035","🔙 Back button on Cart page redirects to landing","Chromium","Sat Aug 16 17:07:32 IDT 2025","broken","Sat Aug 16 17:08:02 IDT 2025","","CartPage.test.ts","",""
"","522","should show access denied message for non-admin","Chromium","Sat Aug 16 17:04:50 IDT 2025","passed","Sat Aug 16 17:04:50 IDT 2025","not authorized access","AdminAddItemPage.test.ts","",""
"","30041","Mocked cart validate remove item","Chromium","Sat Aug 16 17:06:30 IDT 2025","broken","Sat Aug 16 17:07:00 IDT 2025","","CartPage.test.ts","",""
"","646","❤️ Clicking Wish adds item to wishlist and shows feedback","Chromium","Sat Aug 16 17:12:44 IDT 2025","passed","Sat Aug 16 17:12:45 IDT 2025","","HomePage.test.ts","",""
"","3524","should allow removing an item from wishlist","Chromium","Sat Aug 16 17:09:36 IDT 2025","failed","Sat Aug 16 17:09:39 IDT 2025","","WishlistPage.test.ts","",""
"","30029","should display heading and check if wishlist is empty","Chromium","Sat Aug 16 17:08:29 IDT 2025","broken","Sat Aug 16 17:08:59 IDT 2025","","WishlistPage.test.ts","",""
"","664","Validate Item details are correct","Chromium","Sat Aug 16 17:07:22 IDT 2025","passed","Sat Aug 16 17:07:22 IDT 2025","","Item.test.ts","",""
"","5616","should handle no orders for selected date","Chromium","Sat Aug 16 17:05:22 IDT 2025","failed","Sat Aug 16 17:05:28 IDT 2025","Admin Pie Chart Page","AdminPieChartPage.test.ts","",""
"","774","❌ Future Date Failed Registration","Chromium","Sat Aug 16 17:08:18 IDT 2025","passed","Sat Aug 16 17:08:18 IDT 2025","","RegisterPage.test.ts","",""
"","784","💙 Clicking login should redirect to /login page","Chromium","Sat Aug 16 17:07:54 IDT 2025","passed","Sat Aug 16 17:07:55 IDT 2025","","LandingPage.test.ts","",""
"","2043","should view details of first item","Chromium","Tue Aug 12 14:49:09 IDT 2025","passed","Tue Aug 12 14:49:11 IDT 2025","Admin Items Dashboard","AdminDashboardPage.test.ts","",""
"","910","❌ Registration fails with already used email","Chromium","Sat Aug 16 17:08:17 IDT 2025","passed","Sat Aug 16 17:08:18 IDT 2025","","RegisterPage.test.ts","",""
"","6184","should render pie chart after loading","Chromium","Sat Aug 16 17:04:55 IDT 2025","failed","Sat Aug 16 17:05:02 IDT 2025","Admin Pie Chart Page","AdminPieChartPage.test.ts","",""
"","30044","💚 Landing page loads and displays top 5 items","Chromium","Sat Aug 16 17:07:23 IDT 2025","broken","Sat Aug 16 17:07:53 IDT 2025","","LandingPage.test.ts","",""
"","5724","should navigate back using BasePage back()","Chromium","Sat Aug 16 17:05:15 IDT 2025","failed","Sat Aug 16 17:05:21 IDT 2025","Admin Pie Chart Page","AdminPieChartPage.test.ts","",""
"","5243","should show access denied message for non-admin","Chromium","Sat Aug 16 14:09:06 IDT 2025","failed","Sat Aug 16 14:09:11 IDT 2025","AddItemPage","AdminAddItemPage.test.ts","",""
"","30026","🔓 Logout redirects to landing page and clears user state","Chromium","Sat Aug 16 17:13:08 IDT 2025","broken","Sat Aug 16 17:13:38 IDT 2025","","HomePage.test.ts","",""
"","5985","💙 Clicking on Orders History and verifying real data","Chromium","Sat Aug 16 17:12:59 IDT 2025","failed","Sat Aug 16 17:13:05 IDT 2025","","HomePage.test.ts","",""
"","830","🚫 Invalid login should show error alert","Chromium","Sat Aug 16 17:07:57 IDT 2025","passed","Sat Aug 16 17:07:58 IDT 2025","","LoginPage.test.ts","",""
"","30040","should allow viewing an item from wishlist","Chromium","Sat Aug 16 17:09:05 IDT 2025","broken","Sat Aug 16 17:09:35 IDT 2025","","WishlistPage.test.ts","",""
"","1245","Tooltip appears on bar hover","Chromium","Sat Aug 16 17:03:53 IDT 2025","passed","Sat Aug 16 17:03:54 IDT 2025","","AdminBarChartPage.test.ts","",""
